Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
JAMBI,BUNGO,1509,Listrik PLN,"14,416"
JAMBI,BUNGO,1509,Listrik non-PLN,563
JAMBI,BUNGO,1509,Tidak ada listrik,"2,519"
JAMBI,KOTA JAMBI,1571,Listrik PLN,"31,300"
JAMBI,KOTA JAMBI,1571,Listrik non-PLN,228
JAMBI,KOTA JAMBI,1571,Tidak ada listrik,180
JAMBI,KOTA SUNGAI PENUH,1572,Listrik PLN,"5,126"
JAMBI,KOTA SUNGAI PENUH,1572,Listrik non-PLN,10
JAMBI,KOTA SUNGAI PENUH,1572,Tidak ada listrik,329
JAMBI,TOTAL,"186,021",Listrik PLN,"17,924"
JAMBI,TOTAL,"186,021",Listrik non-PLN,"26,058"
SUMATERA SELATAN,OGAN KOMERING ULU,1601,Listrik PLN,"22,304"
SUMATERA SELATAN,OGAN KOMERING ULU,1601,Listrik non-PLN,404
SUMATERA SELATAN,OGAN KOMERING ULU,1601,Tidak ada listrik,"2,216"
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,Listrik PLN,"56,595"
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,Listrik non-PLN,"7,313"
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,Tidak ada listrik,"8,416"
SUMATERA SELATAN,MUARA ENIM,1603,Listrik PLN,"50,221"
SUMATERA SELATAN,MUARA ENIM,1603,Listrik non-PLN,"2,509"
SUMATERA SELATAN,MUARA ENIM,1603,Tidak ada listrik,"2,972"
SUMATERA SELATAN,LAHAT,1604,Listrik PLN,"35,392"
SUMATERA SELATAN,LAHAT,1604,Listrik non-PLN,509
SUMATERA SELATAN,LAHAT,1604,Tidak ada listrik,"1,771"
SUMATERA SELATAN,MUSI RAWAS,1605,Listrik PLN,"38,394"
SUMATERA SELATAN,MUSI RAWAS,1605,Listrik non-PLN,721
SUMATERA SELATAN,MUSI RAWAS,1605,Tidak ada listrik,"3,808"
SUMATERA SELATAN,MUSI BANYUASIN,1606,Listrik PLN,"34,243"
SUMATERA SELATAN,MUSI BANYUASIN,1606,Listrik non-PLN,"15,775"
SUMATERA SELATAN,MUSI BANYUASIN,1606,Tidak ada listrik,"4,726"
SUMATERA SELATAN,BANYU ASIN,1607,Listrik PLN,"70,146"
SUMATERA SELATAN,BANYU ASIN,1607,Listrik non-PLN,"6,276"
SUMATERA SELATAN,BANYU ASIN,1607,Tidak ada listrik,"6,133"
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,Listrik PLN,"22,453"
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,Listrik non-PLN,"8,013"
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,Tidak ada listrik,"11,285"
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,Listrik PLN,"32,604"
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,Listrik non-PLN,518
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,Tidak ada listrik,"1,104"
SUMATERA SELATAN,OGAN ILIR,1610,Listrik PLN,"39,529"
SUMATERA SELATAN,OGAN ILIR,1610,Listrik non-PLN,"1,432"
SUMATERA SELATAN,OGAN ILIR,1610,Tidak ada listrik,"5,206"
SUMATERA SELATAN,EMPAT LAWANG,1611,Listrik PLN,"19,635"
SUMATERA SELATAN,EMPAT LAWANG,1611,Listrik non-PLN,208
SUMATERA SELATAN,EMPAT LAWANG,1611,Tidak ada listrik,"2,528"
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,Listrik PLN,"16,503"
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,Listrik non-PLN,431
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,Tidak ada listrik,834
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,Listrik PLN,"11,274"
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,Listrik non-PLN,"3,172"
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,Tidak ada listrik,"3,844"
SUMATERA SELATAN,KOTA PALEMBANG,1671,Listrik PLN,"87,642"
SUMATERA SELATAN,KOTA PALEMBANG,1671,Listrik non-PLN,"1,878"
SUMATERA SELATAN,KOTA PALEMBANG,1671,Tidak ada listrik,820
SUMATERA SELATAN,KOTA PRABUMULIH,1672,Listrik PLN,"10,514"
SUMATERA SELATAN,KOTA PRABUMULIH,1672,Listrik non-PLN,38
SUMATERA SELATAN,KOTA PRABUMULIH,1672,Tidak ada listrik,299
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,Listrik PLN,"9,121"
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,Listrik non-PLN,65
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,Tidak ada listrik,224
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,Listrik PLN,"11,490"
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,Listrik non-PLN,103
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,Tidak ada listrik,271
SUMATERA SELATAN,TOTAL,"568,060",Listrik PLN,"49,365"
SUMATERA SELATAN,TOTAL,"568,060",Listrik non-PLN,"56,457"
BENGKULU,BENGKULU SELATAN,1701,Listrik PLN,"10,786"
BENGKULU,BENGKULU SELATAN,1701,Listrik non-PLN,312
BENGKULU,BENGKULU SELATAN,1701,Tidak ada listrik,"1,139"
BENGKULU,REJANG LEBONG,1702,Listrik PLN,"21,941"
BENGKULU,REJANG LEBONG,1702,Listrik non-PLN,306
BENGKULU,REJANG LEBONG,1702,Tidak ada listrik,"5,677"
BENGKULU,BENGKULU UTARA,1703,Listrik PLN,"18,774"
BENGKULU,BENGKULU UTARA,1703,Listrik non-PLN,688
BENGKULU,BENGKULU UTARA,1703,Tidak ada listrik,"2,715"
BENGKULU,KAUR,1704,Listrik PLN,"10,674"
BENGKULU,KAUR,1704,Listrik non-PLN,687
BENGKULU,KAUR,1704,Tidak ada listrik,786
BENGKULU,SELUMA,1705,Listrik PLN,"17,013"
BENGKULU,SELUMA,1705,Listrik non-PLN,543
BENGKULU,SELUMA,1705,Tidak ada listrik,"2,409"
BENGKULU,MUKOMUKO,1706,Listrik PLN,"11,741"
BENGKULU,MUKOMUKO,1706,Listrik non-PLN,540
BENGKULU,MUKOMUKO,1706,Tidak ada listrik,"1,001"
BENGKULU,LEBONG,1707,Listrik PLN,"8,914"
BENGKULU,LEBONG,1707,Listrik non-PLN,317
BENGKULU,LEBONG,1707,Tidak ada listrik,989
BENGKULU,KEPAHIANG,1708,Listrik PLN,"9,387"
