Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,Jumlah IndividuUsia di bawah 6 tahun,Jumlah IndividuUsia 6 - 14 tahun,Jumlah IndividuUsia 15 - 44 tahun,Jumlah IndividuUsia 45 - 59 tahun,Jumlah IndividuUsia 60 tahun ke atas
BENGKULU,BENGKULU TENGAH,1709,L,"2,243","4,429","11,418","2,792","1,653"
BENGKULU,KOTA BENGKULU,1771,P,"3,862","7,822","20,036","6,056","2,672"
BENGKULU,KOTA BENGKULU,1771,L,"4,251","8,336","20,400","6,471","2,497"
LAMPUNG,LAMPUNG BARAT,1801,P,"4,781","10,494","28,693","8,781","3,991"
LAMPUNG,LAMPUNG BARAT,1801,L,"5,123","11,178","31,840","10,257","4,837"
LAMPUNG,TANGGAMUS,1802,P,"10,613","23,319","58,354","19,497","11,330"
LAMPUNG,TANGGAMUS,1802,L,"11,728","24,899","67,035","21,220","11,749"
LAMPUNG,LAMPUNG SELATAN,1803,P,"20,334","41,577","111,079","35,232","22,470"
LAMPUNG,LAMPUNG SELATAN,1803,L,"21,674","44,693","120,342","36,106","22,416"
LAMPUNG,LAMPUNG TIMUR,1804,P,"15,476","31,412","83,774","28,524","22,583"
LAMPUNG,LAMPUNG TIMUR,1804,L,"16,713","33,912","90,603","29,261","21,421"
LAMPUNG,LAMPUNG TENGAH,1805,P,"18,556","34,617","97,886","31,034","23,870"
LAMPUNG,LAMPUNG TENGAH,1805,L,"19,790","37,239","104,778","32,156","21,179"
LAMPUNG,LAMPUNG UTARA,1806,P,"12,186","25,432","63,258","20,651","11,431"
LAMPUNG,LAMPUNG UTARA,1806,L,"13,355","27,233","69,407","21,079","11,562"
LAMPUNG,WAY KANAN,1807,P,"7,491","15,045","40,685","12,110","7,378"
LAMPUNG,WAY KANAN,1807,L,"7,991","16,037","43,908","12,141","7,796"
LAMPUNG,TULANGBAWANG,1808,P,"6,560","13,480","36,131","10,522","6,041"
LAMPUNG,TULANGBAWANG,1808,L,"7,167","14,679","38,250","11,768","7,104"
LAMPUNG,PESAWARAN,1809,P,"10,221","19,563","53,317","16,782","10,497"
LAMPUNG,PESAWARAN,1809,L,"10,746","21,044","58,337","18,070","10,684"
LAMPUNG,PRINGSEWU,1810,P,"5,688","11,496","29,963","10,086","6,876"
LAMPUNG,PRINGSEWU,1810,L,"6,124","12,489","33,448","11,550","6,387"
LAMPUNG,MESUJI,1811,P,"2,736","6,398","17,257","5,609","3,780"
LAMPUNG,MESUJI,1811,L,"3,040","6,770","18,850","5,672","4,345"
LAMPUNG,TULANG BAWANG BARAT,1812,P,"3,412","6,946","17,929","5,466","4,677"
LAMPUNG,TULANG BAWANG BARAT,1812,L,"3,655","7,385","19,093","5,657","4,338"
LAMPUNG,PESISIR BARAT,1813,P,"3,279","7,703","18,160","6,075","2,693"
LAMPUNG,PESISIR BARAT,1813,L,"3,816","8,361","20,747","6,599","3,288"
LAMPUNG,KOTA BANDAR LAMPUNG,1871,P,"13,710","28,802","77,851","25,317","12,789"
LAMPUNG,KOTA BANDAR LAMPUNG,1871,L,"14,903","31,121","85,796","26,487","11,743"
LAMPUNG,KOTA METRO,1872,P,"1,404","2,680","7,459","2,785","1,728"
LAMPUNG,KOTA METRO,1872,L,"1,505","2,818","8,348","2,861","1,539"
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,P,"1,992","4,363","9,790","4,567","4,384"
KEPULAUAN BANGKA BELITUNG,BANGKA,1901,L,"2,069","4,782","12,484","3,795","3,042"
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,P,967,"2,091","5,246","3,254","3,531"
KEPULAUAN BANGKA BELITUNG,BELITUNG,1902,L,999,"2,243","7,392","2,760","2,639"
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,P,"1,106","2,738","4,933","1,725","1,316"
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,1903,L,"1,176","2,781","6,076","1,593",978
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,1904,P,"1,430","3,219","7,248","3,102","2,485"
