Provinsi,NamaKab/Kota,KodeKab/Kota,Bahan bakar memasak,Jumlah rumah tangga
RIAU,KOTA PEKANBARU,1471,Tidak memasak di rumah,232
RIAU,KOTA DUMAI,1473,Listrik/Gas,"13,321"
RIAU,KOTA DUMAI,1473,Minyak tanah,922
RIAU,KOTA DUMAI,1473,Briket/Arang/Kayu,"1,560"
RIAU,KOTA DUMAI,1473,Tidak memasak di rumah,79
RIAU,TOTAL,"212,110",Listrik/Gas,"18,747"
RIAU,TOTAL,"212,110",Minyak tanah,"137,003"
RIAU,TOTAL,"212,110",Briket/Arang/Kayu,"1,219"
JAMBI,KERINCI,1501,Listrik/Gas,"2,654"
JAMBI,KERINCI,1501,Minyak tanah,"3,440"
JAMBI,KERINCI,1501,Briket/Arang/Kayu,"22,154"
JAMBI,KERINCI,1501,Tidak memasak di rumah,211
JAMBI,MERANGIN,1502,Listrik/Gas,"5,518"
JAMBI,MERANGIN,1502,Minyak tanah,784
JAMBI,MERANGIN,1502,Briket/Arang/Kayu,"16,735"
JAMBI,MERANGIN,1502,Tidak memasak di rumah,104
JAMBI,SAROLANGUN,1503,Listrik/Gas,"9,236"
JAMBI,SAROLANGUN,1503,Minyak tanah,206
JAMBI,SAROLANGUN,1503,Briket/Arang/Kayu,"13,103"
JAMBI,SAROLANGUN,1503,Tidak memasak di rumah,128
JAMBI,BATANG HARI,1504,Listrik/Gas,"11,280"
JAMBI,BATANG HARI,1504,Minyak tanah,326
JAMBI,BATANG HARI,1504,Briket/Arang/Kayu,"9,357"
JAMBI,BATANG HARI,1504,Tidak memasak di rumah,72
