Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,SD/SDLB/Paket A,M. Ibtidaiyah,SMP/SMPLB/Paket B,M. Tsanawiyah,SMA/SMK/SMALB/Paket C,M. Aliyah,Perguruan Tinggi
JAMBI,MUARO JAMBI,1505,L,"5,347",64,"2,045",274,940,93,58
JAMBI,TANJUNG JABUNG TIMUR,1506,P,"3,816",102,"1,294",359,710,191,83
JAMBI,TANJUNG JABUNG TIMUR,1506,L,"3,898",135,"1,264",303,672,105,50
JAMBI,TANJUNG JABUNG BARAT,1507,P,"6,040",217,"1,905",812,"1,038",325,118
JAMBI,TANJUNG JABUNG BARAT,1507,L,"6,563",242,"2,026",785,"1,122",273,89
JAMBI,TEBO,1508,P,"4,341",114,"1,516",338,895,152,141
JAMBI,TEBO,1508,L,"4,968",111,"1,510",304,810,152,142
JAMBI,BUNGO,1509,P,"4,617",45,"1,849",259,767,82,84
JAMBI,BUNGO,1509,L,"5,143",58,"1,899",245,819,100,63
JAMBI,KOTA JAMBI,1571,P,"7,533",84,"3,798",336,"3,009",116,789
JAMBI,KOTA JAMBI,1571,L,"8,304",99,"4,164",362,"3,022",103,585
JAMBI,KOTA SUNGAI PENUH,1572,P,"1,036",14,571,47,533,20,210
JAMBI,KOTA SUNGAI PENUH,1572,L,"1,230",13,618,48,506,22,175
SUMATERA SELATAN,OGAN KOMERING ULU,1601,P,"5,550",68,"2,584",88,"1,494",34,115
SUMATERA SELATAN,OGAN KOMERING ULU,1601,L,"5,998",75,"2,570",81,"1,376",40,68
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,P,"16,871",349,"6,226",495,"3,211",154,199
SUMATERA SELATAN,OGAN KOMERING ILIR,1602,L,"18,089",391,"6,197",462,"2,843",121,138
SUMATERA SELATAN,MUARA ENIM,1603,P,"14,519",425,"5,792",416,"3,034",227,156
SUMATERA SELATAN,MUARA ENIM,1603,L,"15,757",444,"5,773",364,"2,998",188,95
SUMATERA SELATAN,LAHAT,1604,P,"9,492",96,"4,425",98,"2,805",46,226
SUMATERA SELATAN,LAHAT,1604,L,"10,320",109,"4,435",91,"2,715",30,94
SUMATERA SELATAN,MUSI RAWAS,1605,P,"9,164",92,"3,667",171,"1,641",34,245
SUMATERA SELATAN,MUSI RAWAS,1605,L,"9,973",111,"3,705",137,"1,719",25,157
SUMATERA SELATAN,MUSI BANYUASIN,1606,P,"12,463",140,"4,969",192,"2,712",47,255
SUMATERA SELATAN,MUSI BANYUASIN,1606,L,"13,741",139,"5,377",184,"2,759",21,250
SUMATERA SELATAN,BANYU ASIN,1607,P,"20,105",391,"7,244",723,"3,572",269,427
SUMATERA SELATAN,BANYU ASIN,1607,L,"21,980",390,"7,325",677,"3,455",212,339
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,P,"9,908",123,"4,388",252,"2,523",86,98
SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,1608,L,"10,975",131,"4,406",230,"2,452",58,88
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,P,"9,221",298,"3,587",340,"1,513",85,42
SUMATERA SELATAN,OGAN KOMERING ULU TIMUR,1609,L,"9,337",359,"3,522",247,"1,318",64,31
SUMATERA SELATAN,OGAN ILIR,1610,P,"10,756",193,"4,239",525,"2,458",191,160
SUMATERA SELATAN,OGAN ILIR,1610,L,"11,754",186,"4,234",506,"2,266",155,83
SUMATERA SELATAN,EMPAT LAWANG,1611,P,"5,312",49,"2,393",46,"1,584",2,94
SUMATERA SELATAN,EMPAT LAWANG,1611,L,"5,754",37,"2,420",49,"1,482",4,59
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,P,"5,281",13,"1,966",23,"1,020",13,46
SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,1612,L,"5,881",14,"1,969",24,"1,004",8,28
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,P,"4,080",51,"1,627",161,881,10,89
SUMATERA SELATAN,MUSI RAWAS UTARA,1613,L,"4,591",62,"1,759",139,894,12,71
SUMATERA SELATAN,KOTA PALEMBANG,1671,P,"24,119",298,"12,017",65,"7,308",15,613
SUMATERA SELATAN,KOTA PALEMBANG,1671,L,"26,151",310,"12,621",63,"7,061",12,368
SUMATERA SELATAN,KOTA PRABUMULIH,1672,P,"2,932",13,"1,191",9,678,2,48
SUMATERA SELATAN,KOTA PRABUMULIH,1672,L,"3,133",17,"1,247",12,698,2,27
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,P,"2,132",10,"1,062",11,768,14,124
SUMATERA SELATAN,KOTA PAGAR ALAM,1673,L,"2,283",4,"1,123",11,700,11,55
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,P,"3,046",18,"1,463",22,994,7,168
SUMATERA SELATAN,KOTA LUBUKLINGGAU,1674,L,"3,406",14,"1,460",21,957,10,99
BENGKULU,BENGKULU SELATAN,1701,P,"2,903",59,"1,454",46,802,26,112
BENGKULU,BENGKULU SELATAN,1701,L,"3,202",52,"1,456",36,702,13,60
BENGKULU,REJANG LEBONG,1702,P,"5,438",56,"2,297",87,"1,240",35,242
BENGKULU,REJANG LEBONG,1702,L,"6,016",67,"2,353",73,"1,201",16,182
BENGKULU,BENGKULU UTARA,1703,P,"5,892",50,"2,220",90,"1,044",23,118
BENGKULU,BENGKULU UTARA,1703,L,"6,462",53,"2,241",70,868,12,68
BENGKULU,KAUR,1704,P,"3,315",47,"1,486",81,932,39,89
BENGKULU,KAUR,1704,L,"3,519",55,"1,488",72,975,35,83
BENGKULU,SELUMA,1705,P,"4,515",87,"1,976",97,"1,013",28,60
BENGKULU,SELUMA,1705,L,"5,285",102,"1,940",103,939,25,36
BENGKULU,MUKOMUKO,1706,P,"3,237",160,"1,291",274,873,93,112
BENGKULU,MUKOMUKO,1706,L,"3,707",172,"1,298",234,790,60,93
BENGKULU,LEBONG,1707,P,"2,301",42,"1,094",46,708,28,40
BENGKULU,LEBONG,1707,L,"2,550",42,"1,078",40,658,33,28
BENGKULU,KEPAHIANG,1708,P,"2,328",11,988,52,564,47,90
BENGKULU,KEPAHIANG,1708,L,"2,557",14,957,39,590,32,64
BENGKULU,BENGKULU TENGAH,1709,P,"2,639",64,"1,169",39,610,18,97
BENGKULU,BENGKULU TENGAH,1709,L,"2,866",63,"1,198",45,624,23,90
BENGKULU,KOTA BENGKULU,1771,P,"5,234",43,"2,583",46,"1,945",17,977
BENGKULU,KOTA BENGKULU,1771,L,"5,797",50,"2,521",39,"1,745",11,622
LAMPUNG,LAMPUNG BARAT,1801,P,"6,871",308,"2,761",263,"1,513",115,69
LAMPUNG,LAMPUNG BARAT,1801,L,"7,484",340,"2,848",264,"1,636",94,69
LAMPUNG,TANGGAMUS,1802,P,"15,322",489,"6,551",821,"2,975",270,97
LAMPUNG,TANGGAMUS,1802,L,"16,512",602,"6,878",819,"2,890",228,89
LAMPUNG,LAMPUNG SELATAN,1803,P,"27,222","1,329","11,081","1,601","5,911",381,321
LAMPUNG,LAMPUNG SELATAN,1803,L,"29,305","1,561","11,491","1,591","5,947",329,241
LAMPUNG,LAMPUNG TIMUR,1804,P,"20,323",648,"9,390",575,"4,175",194,150
LAMPUNG,LAMPUNG TIMUR,1804,L,"22,304",707,"9,665",542,"4,092",130,88
LAMPUNG,LAMPUNG TENGAH,1805,P,"22,861",465,"9,776",694,"4,099",225,249
LAMPUNG,LAMPUNG TENGAH,1805,L,"25,298",502,"9,578",641,"3,962",170,159
LAMPUNG,LAMPUNG UTARA,1806,P,"16,820",387,"7,342",569,"3,867",233,162
LAMPUNG,LAMPUNG UTARA,1806,L,"18,318",389,"7,553",593,"3,707",183,102
LAMPUNG,WAY KANAN,1807,P,"10,293",151,"4,234",297,"2,248",106,72
